record_id,split,age,sex,fitness_level,mission_duration_days,microgravity_experience,equipment_available,injuries_or_constraints,goal,recommended_exercises,weekly_plan_summary,nutrition_recommendation,intensity_level,duration_min_per_session,sessions_per_week,notes,assistant_suggestion,generated_at
1498,train,35,male,beginner,180,none,bodyweight_only,mild_hypertension,maintain_bone_density,"impact_simulation_protocol (via harnessed compressions); controlled_limb_rom (range_of_motion); isometric_core_holds; high-load_resistive_sets (brief, high force); slow eccentric-focused moves","3 sessions/week, ~45 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low-moderate,45,3,mission_duration_180d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:mild_hypertension,"Age 35, male, fitness:beginner. Goal: maintain_bone_density. Use: bodyweight_only. Recommend: impact_simulation_protocol (via harnessed compressions); controlled_limb_rom (range_of_motion); isometric_core_holds; high-load_resistive_sets (brief, high force); slow eccentric-focused moves. Weekly: 3 sessions/week, ~45 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_180d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:mild_hypertension",2025-11-11T17:42:58.443261Z
1499,train,31,prefer_not_to_say,beginner,180,short_missions(<30d),resistive_device (ARED-like); handheld resistance tools; treadmill with harness; bodyweight_only,none,improve_core_stability,band_pull_aparts; impact_simulation_protocol (via harnessed compressions); resistive_squats (belt/harness),"4 sessions/week, ~30 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low-moderate,30,4,mission_duration_180d,"Age 31, prefer_not_to_say, fitness:beginner. Goal: improve_core_stability. Use: resistive_device (ARED-like); handheld resistance tools; treadmill with harness; bodyweight_only. Recommend: band_pull_aparts; impact_simulation_protocol (via harnessed compressions); resistive_squats (belt/harness). Weekly: 4 sessions/week, ~30 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_180d",2025-11-11T17:42:58.443402Z
1500,train,41,prefer_not_to_say,advanced,365,none,handheld resistance tools; cycle_ergometer with harness,none,maintain_muscle_mass,"isometric_hold_variations; high-load_resistive_sets (brief, high force); cycle_endurance; impact_simulation_protocol (via harnessed compressions); treadmill_intervals (harnessed)","7 sessions/week, ~27 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",high,27,7,mission_duration_365d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique,"Age 41, prefer_not_to_say, fitness:advanced. Goal: maintain_muscle_mass. Use: handheld resistance tools; cycle_ergometer with harness. Recommend: isometric_hold_variations; high-load_resistive_sets (brief, high force); cycle_endurance; impact_simulation_protocol (via harnessed compressions); treadmill_intervals (harnessed). Weekly: 7 sessions/week, ~27 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_365d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique",2025-11-11T17:42:58.443530Z
1501,train,55,male,intermediate,90,short_missions(<30d),bodyweight_only; cycle_ergometer with harness; resistive_device (ARED-like); treadmill with harness,none,maintain_muscle_mass,resistive_squats (belt/harness); resistive_row; resistive_deadlifts (hip-focused),"7 sessions/week, ~45 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",moderate,45,7,mission_duration_90d,"Age 55, male, fitness:intermediate. Goal: maintain_muscle_mass. Use: bodyweight_only; cycle_ergometer with harness; resistive_device (ARED-like); treadmill with harness. Recommend: resistive_squats (belt/harness); resistive_row; resistive_deadlifts (hip-focused). Weekly: 7 sessions/week, ~45 min/session, moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_90d",2025-11-11T17:42:58.443660Z
1502,train,22,nonbinary,sedentary,30,none,flywheel device; treadmill with harness,none,weight_management,treadmill_intervals (harnessed); high_intensity_interval_cycle; resistive_row,"7 sessions/week, ~46 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass",low,46,7,mission_duration_30d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique,"Age 22, nonbinary, fitness:sedentary. Goal: weight_management. Use: flywheel device; treadmill with harness. Recommend: treadmill_intervals (harnessed); high_intensity_interval_cycle; resistive_row. Weekly: 7 sessions/week, ~46 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass. Notes: mission_duration_30d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique",2025-11-11T17:42:58.443781Z
1503,train,38,nonbinary,sedentary,365,long_missions(>=30d),treadmill with harness; handheld resistance tools,mild_hypertension,maintain_muscle_mass,"high-load_resistive_sets (brief, high force); cycle_endurance; impact_simulation_protocol (via harnessed compressions); band_squats; band_pull_aparts; isometric_hold_variations","5 sessions/week, ~40 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low,40,5,mission_duration_365d; constraint:mild_hypertension,"Age 38, nonbinary, fitness:sedentary. Goal: maintain_muscle_mass. Use: treadmill with harness; handheld resistance tools. Recommend: high-load_resistive_sets (brief, high force); cycle_endurance; impact_simulation_protocol (via harnessed compressions); band_squats; band_pull_aparts; isometric_hold_variations. Weekly: 5 sessions/week, ~40 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_365d; constraint:mild_hypertension",2025-11-11T17:42:58.443901Z
1504,train,39,female,sedentary,14,none,flywheel device; handheld resistance tools; cycle_ergometer with harness; vibration_platform,recent_surgery,weight_management,isometric_hold_variations; resistive_chest_press; vibration_assisted_squats; resistive_deadlifts (hip-focused),"5 sessions/week, ~34 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations)",low,34,5,mission_duration_14d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:recent_surgery,"Age 39, female, fitness:sedentary. Goal: weight_management. Use: flywheel device; handheld resistance tools; cycle_ergometer with harness; vibration_platform. Recommend: isometric_hold_variations; resistive_chest_press; vibration_assisted_squats; resistive_deadlifts (hip-focused). Weekly: 5 sessions/week, ~34 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; prioritize energy-controlled meals and protein distribution to retain lean mass; emphasize protein and micronutrients supporting tissue repair (as per medical team recommendations). Notes: mission_duration_14d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:recent_surgery",2025-11-11T17:42:58.444023Z
1505,train,30,male,sedentary,30,short_missions(<30d),handheld resistance tools; resistive_device (ARED-like); vibration_platform; elastic bands,mild_hypertension,maintain_muscle_mass,"vibration_platform_stands; band_squats; resistive_row; high-load_resistive_sets (brief, high force)","5 sessions/week, ~30 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low,30,5,mission_duration_30d; constraint:mild_hypertension,"Age 30, male, fitness:sedentary. Goal: maintain_muscle_mass. Use: handheld resistance tools; resistive_device (ARED-like); vibration_platform; elastic bands. Recommend: vibration_platform_stands; band_squats; resistive_row; high-load_resistive_sets (brief, high force). Weekly: 5 sessions/week, ~30 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_30d; constraint:mild_hypertension",2025-11-11T17:42:58.444157Z
1506,train,46,male,advanced,30,none,resistive_device (ARED-like),none,maintain_bone_density,"resistive_squats (belt/harness); impact_simulation_protocol (via harnessed compressions); high-load_resistive_sets (brief, high force); resistive_chest_press; resistive_deadlifts (hip-focused); resistive_row","3 sessions/week, ~45 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",high,45,3,mission_duration_30d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique,"Age 46, male, fitness:advanced. Goal: maintain_bone_density. Use: resistive_device (ARED-like). Recommend: resistive_squats (belt/harness); impact_simulation_protocol (via harnessed compressions); high-load_resistive_sets (brief, high force); resistive_chest_press; resistive_deadlifts (hip-focused); resistive_row. Weekly: 3 sessions/week, ~45 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_30d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique",2025-11-11T17:42:58.444290Z
1507,train,38,prefer_not_to_say,advanced,90,long_missions(>=30d),resistive_device (ARED-like),none,improve_core_stability,"high-load_resistive_sets (brief, high force); resistive_squats (belt/harness); resistive_deadlifts (hip-focused); impact_simulation_protocol (via harnessed compressions); resistive_row","5 sessions/week, ~34 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",high,34,5,mission_duration_90d,"Age 38, prefer_not_to_say, fitness:advanced. Goal: improve_core_stability. Use: resistive_device (ARED-like). Recommend: high-load_resistive_sets (brief, high force); resistive_squats (belt/harness); resistive_deadlifts (hip-focused); impact_simulation_protocol (via harnessed compressions); resistive_row. Weekly: 5 sessions/week, ~34 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_90d",2025-11-11T17:42:58.444439Z
1508,train,36,female,beginner,365,long_missions(>=30d),resistive_device (ARED-like),none,improve_core_stability,"high-load_resistive_sets (brief, high force); impact_simulation_protocol (via harnessed compressions); resistive_squats (belt/harness); resistive_chest_press; resistive_deadlifts (hip-focused); resistive_row","4 sessions/week, ~41 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low-moderate,41,4,mission_duration_365d,"Age 36, female, fitness:beginner. Goal: improve_core_stability. Use: resistive_device (ARED-like). Recommend: high-load_resistive_sets (brief, high force); impact_simulation_protocol (via harnessed compressions); resistive_squats (belt/harness); resistive_chest_press; resistive_deadlifts (hip-focused); resistive_row. Weekly: 4 sessions/week, ~41 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_365d",2025-11-11T17:42:58.444576Z
1509,train,34,female,sedentary,14,none,resistive_device (ARED-like); vibration_platform; flywheel device; elastic bands,none,maintain_bone_density,"high-load_resistive_sets (brief, high force); isometric_hold_variations; vibration_assisted_squats; impact_simulation_protocol (via harnessed compressions)","4 sessions/week, ~51 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low,51,4,mission_duration_14d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique,"Age 34, female, fitness:sedentary. Goal: maintain_bone_density. Use: resistive_device (ARED-like); vibration_platform; flywheel device; elastic bands. Recommend: high-load_resistive_sets (brief, high force); isometric_hold_variations; vibration_assisted_squats; impact_simulation_protocol (via harnessed compressions). Weekly: 4 sessions/week, ~51 min/session, low intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_14d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique",2025-11-11T17:42:58.444712Z
1510,train,34,nonbinary,advanced,90,long_missions(>=30d),handheld resistance tools; bodyweight_only; resistive_device (ARED-like),none,improve_core_stability,"resistive_row; high-load_resistive_sets (brief, high force); band_squats; isometric_hold_variations","2 sessions/week, ~41 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",high,41,2,mission_duration_90d,"Age 34, nonbinary, fitness:advanced. Goal: improve_core_stability. Use: handheld resistance tools; bodyweight_only; resistive_device (ARED-like). Recommend: resistive_row; high-load_resistive_sets (brief, high force); band_squats; isometric_hold_variations. Weekly: 2 sessions/week, ~41 min/session, high intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_90d",2025-11-11T17:42:58.444925Z
1511,train,43,prefer_not_to_say,beginner,180,none,resistive_device (ARED-like); cycle_ergometer with harness; handheld resistance tools; treadmill with harness,knee_sensitivity,increase_strength,"high-load_resistive_sets (brief, high force); isometric_hold_variations; resistive_deadlifts (hip-focused); band_squats; treadmill_intervals (harnessed)","7 sessions/week, ~47 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition",low-moderate,47,7,mission_duration_180d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:knee_sensitivity,"Age 43, prefer_not_to_say, fitness:beginner. Goal: increase_strength. Use: resistive_device (ARED-like); cycle_ergometer with harness; handheld resistance tools; treadmill with harness. Recommend: high-load_resistive_sets (brief, high force); isometric_hold_variations; resistive_deadlifts (hip-focused); band_squats; treadmill_intervals (harnessed). Weekly: 7 sessions/week, ~47 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help; consider modest calorie surplus if allowed and monitor body composition. Notes: mission_duration_180d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique; constraint:knee_sensitivity",2025-11-11T17:42:58.445138Z
1512,train,33,female,beginner,365,none,cycle_ergometer with harness; bodyweight_only; vibration_platform,none,improve_core_stability,controlled_limb_rom (range_of_motion); cycle_endurance; high_intensity_interval_cycle; vibration_assisted_squats; slow eccentric-focused moves,"4 sessions/week, ~45 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.","energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help",low-moderate,45,4,mission_duration_365d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique,"Age 33, female, fitness:beginner. Goal: improve_core_stability. Use: cycle_ergometer with harness; bodyweight_only; vibration_platform. Recommend: controlled_limb_rom (range_of_motion); cycle_endurance; high_intensity_interval_cycle; vibration_assisted_squats; slow eccentric-focused moves. Weekly: 4 sessions/week, ~45 min/session, low-moderate intensity. Emphasize progressive resistive loading, daily mobility, and 2 focused cardio sessions if equipment permits.. Nutrition: energy_balance: adjust calorie intake to mission phase and energy expenditure; protein: aim for higher protein distribution (e.g., 1.2-1.6 g/kg/day) to preserve lean mass during microgravity; calcium_vitaminD: ensure adequate calcium and vitamin D per mission protocols to support bone health; omega-3: include omega-3 rich foods or supplements as per mission nutrition guidelines; sodium_monitoring: monitor sodium due to fluid shifts in microgravity; hydration: maintain regular fluid intake; small frequent sips can help. Notes: mission_duration_365d; novice_to_microgravity: require orientation to harnessed equipment and strap-in technique",2025-11-11T17:42:58.445351Z
